Cancer,MSE_diff,RMSE_diff,Pearson_diff,Spearman_diff,CIndex_diff
ACC,-0.09475748088339109,-0.06017932745959187,-0.018448322832634534,-0.08181818181818168,-0.09090909090909094
ALL,-0.16701310269715208,-0.088672984213509,0.0008384303696316042,-0.03603976440218304,-0.029027263556586358
BLCA,-0.5697992974759095,-0.2566290797651881,0.023079442091657465,0.03497830885703512,0.021986648998674863
BRCA,-0.19836414488436271,-0.08099149461416832,0.0015663471020486153,-0.025235357146673798,-0.014161368494132187
CESC,-0.5466226133182432,-0.22162689833252736,0.02085386833762526,0.024841478880109458,0.020988344078774257
CLL,0.2758462228797911,0.1964910898510427,-0.04246827043952239,-0.12337662337662336,-0.11904761904761907
COREAD,0.27186347834860314,0.12548741741820324,-0.026334178543767184,-0.030420540506599147,-0.02575692874848312
DLBC,-0.7131214992636778,-0.30222291650319844,0.015781327189076655,0.006745542546036987,0.006090293214777165
ESCA,-0.6595718667710626,-0.28489298209017155,0.021254228115687,0.04081642613054959,0.02255283584273815
GBM,0.008230610808912076,0.003731234800848471,-0.0046558421976593545,-0.0005799764636321703,-0.001421237786453089
HNSC,-0.07205573396393472,-0.03632904960729333,-0.0036607647124398124,-0.015531302184886298,-0.01395275970899923
KIRC,0.10310481262466697,0.0506017441278408,-0.023850748821240164,-0.0234064612212167,-0.024480849276358407
LAML,0.13718177737479564,0.06540676570065473,-0.03250140730142692,-0.032007441541722303,-0.03071592618991048
LCML,-1.7764507465677548,-0.7706297187799255,0.08037280657479284,0.08613201538134885,0.05830126204840158
LGG,-0.08820501322949847,-0.04774885452418354,-0.0004322315097802232,-0.031373036668590704,-0.025147666207754105
LIHC,-0.48841242377912186,-0.22127472062614684,0.02057724161331609,0.06493004552698112,0.041722851649991455
LUAD,-0.3906834361499121,-0.1705806947846038,0.010746160981476516,0.0040628767569859114,0.0035705722427966657
LUSC,-0.5365690152491607,-0.2162080225248164,0.017006910479525406,0.02358260082568775,0.016146445518262165
MB,-0.02069152755354886,-0.012600567936346674,0.0029238610275494903,0.044073340159556884,0.027790096082779048
MESO,0.3002797004261657,0.14004572407694682,-0.020440802320560114,-0.046050298923099864,-0.03218682867077638
MM,1.1620313644959057,0.5381995234638911,-0.06952694870419995,-0.11288354765837805,-0.08359919519835646
NB,0.03728213986444562,0.017567631035574127,0.005553048734267874,-0.001240016279718037,-0.00027179894534345994
OV,0.16262296670258092,0.06987189613258149,-0.004681063239955097,-0.012816983028383078,-0.009650072150072075
PAAD,-0.1632462806505559,-0.07890113633469653,0.0022621331161463143,0.02365081545568215,0.006376730650890283
PRAD,-1.0287172328631449,-0.46025406769890287,0.030573036935668818,0.09342132014095972,0.03772401433691763
SCLC,0.04095819460167127,0.022058441515087734,-0.0025583390565506736,-0.008478380125518381,-0.009854235819094614
SKCM,0.0907875829073066,0.04617301053309686,-0.005619123150772065,-0.043002846018706964,-0.034672364672364675
STAD,-0.7346089741752821,-0.28153298680750405,0.041204934321332765,-0.015182215041449676,-0.014422866926402711
THCA,0.3824158989961427,0.18198415424100678,-0.013726767047695265,-0.05600217935438667,-0.04212053999288046
UCEC,0.06952738275523174,0.03681360963482383,-0.00472204600718773,0.03016442362209426,0.016830294530154277
UNCLASSIFIED,0.06257013537189993,0.030869439871499593,-0.004843791162089106,-0.010450684434066826,-0.007827917188960698
